Headword,Greek ,Part of Speech,English
...μέν...δέ,...μέν...δέ,,[marks a contrast]
...τε,"...τε, ...καί",,both…and…
δίδωμι,"δίδωμι, δώσω, ἔδωκα",verb,I give (fut and aor indic active and infinitives only)
ἀγαθός,"ἀγαθός, ἀγαθή, ἀγαθόν",,good
ἀγγέλλω,"ἀγγέλλω, ἀγγελῶ, ἤγγειλα, ἠγγέλθην",verb,I announce
ἄγγελος,"ἄγγελος, ἀγγέλου, ὁ",,messenger
ἀγορά,"ἀγορά, ἀγορᾶς, ἡ",,market-place
ἀγρός,"ἀγρός, ἀγροῦ, ὁ",,"field, countryside"
ἄγω,"ἄγω, ἄξω, ἤγαγον, ἤχθην",verb,"I lead, bring"
ἀγών,"ἀγών, ἀγῶνος, ὁ",,"contest, trial"
ἀδικέω,ἀδικέω,verb,"I do wrong, injure"
ἄδικος,"ἄδικος, ἄδικος, ἄδικον",,"unjust, wrong"
ἀεί,ἀεί,,always
Ἀθῆναι,"Ἀθῆναι, Ἀθηνῶν, αἱ",,Athens
Ἀθηναῖοι,"Ἀθηναῖοι, Ἀθηναίων, οἱ",,Athenians
Ἀθηναῖος,"Ἀθηναῖος, Ἀθηναῖα, Ἀθηναῖον",,Athenian
ἆθλον,"ἆθλον, ἄθλου, τό",,"prize, reward"
αἱρέω,"αἱρέω, αἱρήσω, εἷλον, ᾑρέθην",verb,I take
αἰσθάνομαι,"αἰσθάνομαι, αἰσθήσομαι, ᾐσθόμην",verb,"I notice, perceive"
αἰσχρός,"αἰσχρός, αἰσχρά, αἰσχρόν",,"shameful, ugly"
αἰτέω,αἰτέω,verb,"I ask, ask for"
αἴτιος,"αἴτιος, αἰτία, αἴτιον",,"(+ gen.) responsible for, guilty of,"
αἰχμάλωτος,"αἰχμάλωτος, αἰχμαλώτου, ὁ",,prisoner (of war)
ἀκούω,"ἀκούω, ἀκούσομαι, ἤκουσα, ἠκούσθην",verb,"I hear, listen"
ἀληθής,"ἀληθής, ἀληθής, ἀληθές",,true 
ἀλλά,ἀλλά,,but
ἄλλος,"ἄλλος, ἄλλη, ἄλλο",,"other, another"
ἄν,ἄν,,"[in conditional sentences, makes aor vb mean 'would have']"
ἀνά,ἀνά,,(+ acc.) up
ἀναγκάζω,"ἀναγκάζω, ἀναγκάσω, ἠνάγκασα, ἠναγκάσθην",verb,"I force, compel"
ἀναχωρέω,ἀναχωρέω,verb,"I retreat, withdraw"
ἀνδρεῖος,"ἀνδρεῖος, ἀνδρεία, ἀνδρεῖον",,"brave, manly"
ἄνεμος,"ἄνεμος, ἀνέμου, ὁ",,wind
ἄνευ,ἄνευ,,(+ gen.) without
ἀνήρ,"ἀνήρ, ἀνδρός, ὁ",,"man, husband"
ἄνθρωπος,"ἄνθρωπος, ἀνθρώπου, ὁ",,"man, person"
ἄξιος,"ἄξιος, ἀξία, ἄξιον",,"(+gen.) worthy of, deserving"
ἀπό,ἀπό,,"(+gen.) from, away from"
ἀποθνῄσκω,"ἀποθνῄσκω, ἀποθανοῦμαι, ἀπέθανον",verb,"I die, am killed"
ἀποκρίνομαι,"ἀποκρίνομαι, ἀποκρινοῦμαι, ἀπεκρινάμην",verb,I reply
ἀποκτείνω,"ἀποκτείνω, ἀποκτενῶ, ἀπέκτεινα",verb,I kill
ἆρα,ἆρα,,[introduces a question]
ἀρχή,"ἀρχή, ἀρχῆς, ἡ",,"beginning, rule, power, empire"
ἄρχομαι,ἄρχομαι,verb,(+gen.) I begin
ἄρχω,ἄρχω,verb,(+gen.) I rule
ἀσθενής,"ἀσθενής, ἀσθενής, ἀσθενές",,weak
ἀσπίς,"ἀσπίς, ἀσπίδος, ἡ",,shield
ἀσφαλής,"ἀσφαλής, ἀσφαλής, ἀσφαλές",,safe
αὖθις,αὖθις,,"again, in turn"
αὐτόν,"αὐτόν, αὐτήν, αὐτό",,"(acc./gen./dat. only —also plural) him, her, it, them"
αὐτός,"αὐτός, αὐτή, αὐτό",,"self, himself, herself, itself (emphatic)"
ἀφικνέομαι,"ἀφικνέομαι, ἀφίξομαι, ἀφικόμην",verb,I arrive
βαίνω,"βαίνω, βήσομαι, ἔβην",verb,I go
βάλλω,"βάλλω, βαλῶ, ἔβαλον, ἐβλήθην",verb,"I throw, I fire at, I hit (with a missile)"
βάρβαροι,"βάρβαροι, βάρβαρων, οἱ",,"foreigners, barbarians, non-Greeks"
βασιλεύς,"βασιλεύς, βασιλέως, ὁ",,king
βία,"βία, βίας, ἡ",,"force, strength"
βίος,"βίος, βίου, ὁ",,life
βλάπτω,βλάπτω,verb,"I harm, I damage"
βοάω,βοάω,verb,I shout
βοή,"βοή, βοῆς, ἡ",,shout
βοηθέω,βοηθέω,verb,"(+ dat.) I help, come to help"
βουλή,"βουλή, βουλῆς, ἡ",,"plan, a council"
βούλομαι,"βούλομαι, βουλήσομαι, ἐβουλήθην",verb,I wish
βραδύς,"βραδύς, βραδεῖα, βραδύ",,slow
γάρ,γάρ,,for
γε,γε,,"at any rate, even, at least"
